Source,Target,Type,RTTD
-1,59193,Directed,1.0900000000000003
59193,55836,Directed,32.0
55836,2497,Directed,38.05
2497,-6,Directed,1.490000000000009
-1,59193,Directed,3.33
59193,55836,Directed,0.0
55836,174,Directed,138.0
174,6830,Directed,13.329999999999984
6830,5089,Directed,5.0
5089,-7,Directed,11.340000000000003
-1,59193,Directed,1.3
59193,55824,Directed,0.4100000000000019
55824,20965,Directed,1.7900000000000205
20965,786,Directed,5.189999999999998
786,-8,Directed,0.5999999999999943
-1,59193,Directed,3.76
59193,55836,Directed,105.42
55836,3356,Directed,57.18000000000001
3356,2519,Directed,2.3699999999999903
2519,-9,Directed,99.32000000000001
-1,59193,Directed,1.9700000000000006
59193,55836,Directed,1.08
55836,20860,Directed,133.31
20860,35425,Directed,1.259999999999991
35425,-10,Directed,8.180000000000007
-1,59193,Directed,0.6200000000000001
59193,55836,Directed,0.7400000000000002
55836,64049,Directed,44.15
64049,3356,Directed,4.329999999999998
3356,3549,Directed,1.6499999999999915
3549,2519,Directed,0.980000000000004
2519,131965,Directed,7.490000000000009
131965,-11,Directed,10.070000000000022
-1,59193,Directed,4.33
59193,55824,Directed,32.33
55824,11537,Directed,37.34
11537,14877,Directed,93.0
14877,9,Directed,77.33999999999997
9,-12,Directed,0.0
-1,59193,Directed,21.91
59193,55836,Directed,35.06999999999999
55836,13335,Directed,115.73
13335,-13,Directed,2.0799999999999983
-1,59193,Directed,2.0
59193,55836,Directed,20.75
55836,2914,Directed,246.48999999999998
2914,-14,Directed,0.6700000000000159
-1,59193,Directed,2.33
59193,55824,Directed,20.659999999999997
55824,14,Directed,15.0
14,-15,Directed,0.6700000000000159
-2,2914,Directed,3.0
2914,-6,Directed,3.0
-2,2914,Directed,1.0
2914,6830,Directed,0.0
6830,5089,Directed,9.0
5089,-7,Directed,1.0
-2,2914,Directed,1.0
2914,3356,Directed,1.0
3356,786,Directed,20.0
786,-8,Directed,0.0
-2,2914,Directed,91.0
2914,2497,Directed,95.0
2497,2519,Directed,4.0
2519,-9,Directed,5.0
-2,2914,Directed,1.0
2914,6461,Directed,0.0
6461,20860,Directed,0.0
20860,35425,Directed,0.0
35425,-10,Directed,0.0
-2,174,Directed,0.66
174,2519,Directed,6.139999999999986
2519,131965,Directed,7.159999999999997
131965,-11,Directed,0.6800000000000068
-2,2914,Directed,4.0
2914,174,Directed,2.0
174,9,Directed,0.0
9,-12,Directed,0.0
-2,2914,Directed,1.0
2914,13335,Directed,1.0
13335,-13,Directed,1.0
-2,2914,Directed,2.0
2914,-14,Directed,1.0
-2,2914,Directed,1.0
2914,174,Directed,34.0
174,14,Directed,1.0
14,-15,Directed,101.0
-3,9498,Directed,102.33000000000001
9498,2497,Directed,39.0
2497,-6,Directed,239.99999999999997
-3,9498,Directed,159.0
9498,1299,Directed,366.0
1299,6830,Directed,31.66999999999996
6830,5089,Directed,430.0
5089,-7,Directed,416.33000000000004
-3,9498,Directed,20.66
9498,6461,Directed,133.0
6461,786,Directed,88.32000000000002
786,-8,Directed,135.0
-3,9498,Directed,67.33
9498,3356,Directed,94.34
3356,3549,Directed,26.66999999999996
3549,2519,Directed,157.00000000000003
2519,-9,Directed,7.669999999999959
-3,9498,Directed,271.0
9498,20860,Directed,705.3399999999999
20860,35425,Directed,311.33
35425,-10,Directed,252.99999999999994
-3,9498,Directed,226.00000000000003
9498,3356,Directed,55.0
3356,3549,Directed,231.66000000000003
3549,2519,Directed,147.66000000000003
2519,131965,Directed,17.670000000000016
131965,-11,Directed,50.339999999999975
-3,9498,Directed,105.66
9498,2381,Directed,29.66999999999996
9,-12,Directed,85.33000000000004
-3,9498,Directed,128.65999999999997
9498,13335,Directed,13.329999999999984
13335,-13,Directed,76.33000000000001
-3,9498,Directed,46.34
9498,2914,Directed,152.34
2914,-14,Directed,74.0
-3,9498,Directed,237.99
9498,174,Directed,31.670000000000016
174,14,Directed,72.99999999999994
14,-15,Directed,75.00000000000006
-4,-6,Directed,20.529999999999998
-4,-7,Directed,282.84999999999997
-4,-8,Directed,14.409999999999998
-4,-9,Directed,114.07000000000002
-4,-10,Directed,3.0200000000000014
-4,-11,Directed,15.839999999999987
-4,-12,Directed,100.68
-4,-13,Directed,29.37
-4,-14,Directed,140.89
-4,-15,Directed,22.0
-5,6453,Directed,36.0
6453,2497,Directed,51.0
2497,-6,Directed,10.0
-5,6453,Directed,271.0
6453,-7,Directed,10.0
-5,6453,Directed,148.0
6453,786,Directed,125.0
786,-8,Directed,5.0
-5,6453,Directed,36.0
6453,2497,Directed,1.0
2497,2519,Directed,5.0
2519,-9,Directed,9.0
-5,6453,Directed,136.0
6453,174,Directed,3.0
174,174,Directed,19.0
174,174,Directed,10.0
174,174,Directed,10.0
174,20860,Directed,16.0
20860,35425,Directed,7.0
35425,-10,Directed,15.0
-5,6453,Directed,36.0
6453,2497,Directed,52.0
2497,2519,Directed,57.0
2519,131965,Directed,17.0
131965,-11,Directed,18.0
-5,6453,Directed,148.0
6453,2828,Directed,13.0
2828,9,Directed,1.0
9,-12,Directed,4.0
-5,6453,Directed,114.0
6453,4755,Directed,10.0
4755,13335,Directed,5.0
13335,-13,Directed,4.0
-5,6453,Directed,150.0
6453,7922,Directed,2.0
7922,7922,Directed,8.0
7922,7922,Directed,11.0
7922,-14,Directed,5.0
-5,6453,Directed,38.0
6453,174,Directed,2.0
174,14,Directed,1.0
14,-15,Directed,1.0
