Source - AS,Source - IP,Target - AS,Target - IP,Type,RTTD
-1,0,59193,103.232.241.2,Directed,1.0900000000000003
59193,103.232.241.2,55836,115.247.100.29,Directed,32.0
55836,115.247.100.29,2497,202.232.1.69,Directed,38.05
2497,202.232.1.69,2497,58.138.80.209,Directed,17.230000000000004
2497,58.138.80.209,2497,58.138.80.185,Directed,82.31
2497,58.138.80.185,2497,58.138.88.58,Directed,0.7400000000000091
2497,58.138.88.58,2497,58.138.106.162,Directed,23.45999999999998
2497,58.138.106.162,2497,210.138.32.46,Directed,91.89000000000001
2497,-6,9371,219.94.128.141,Directed,1.490000000000009
-1,0,59193,103.232.241.2,Directed,3.33
59193,103.232.241.2,55836,115.247.100.29,Directed,0.0
55836,115.247.100.29,174,130.117.48.145,Directed,138.0
174,130.117.48.145,174,154.54.60.13,Directed,10.669999999999987
174,154.54.60.13,174,154.54.58.186,Directed,4.659999999999997
174,154.54.58.186,6830,213.46.174.45,Directed,13.329999999999984
6830,213.46.174.45,6830,84.116.135.42,Directed,14.0
6830,84.116.135.42,5089,62.253.174.114,Directed,5.0
5089,62.253.174.114,5089,62.254.85.22,Directed,11.669999999999987
5089,-7,5089,213.105.9.24,Directed,11.340000000000003
-1,0,59193,103.232.241.2,Directed,1.3
59193,103.232.241.2,55824,180.149.48.18,Directed,0.4100000000000019
55824,180.149.48.18,55824,180.149.48.2,Directed,140.51
55824,180.149.48.2,55824,180.149.48.29,Directed,23.700000000000017
55824,180.149.48.29,20965,62.40.125.214,Directed,1.7900000000000205
20965,62.40.125.214,20965,62.40.98.239,Directed,2.25
20965,62.40.98.239,20965,62.40.98.106,Directed,1.0699999999999932
20965,62.40.98.106,20965,62.40.98.64,Directed,1.6499999999999773
20965,62.40.98.64,20965,62.40.124.198,Directed,0.45000000000001705
20965,62.40.124.198,786,146.97.33.18,Directed,5.189999999999998
786,146.97.33.18,786,146.97.35.246,Directed,40.110000000000014
786,146.97.35.246,786,146.97.41.38,Directed,39.91
786,146.97.41.38,786,131.111.6.182,Directed,0.17000000000001592
786,131.111.6.182,786,193.60.88.6,Directed,2.490000000000009
786,193.60.88.6,786,193.60.88.6,Directed,14.139999999999986
786,193.60.88.6,786,128.232.128.6,Directed,16.069999999999993
786,128.232.128.6,786,128.232.128.10,Directed,1.1400000000000148
786,-8,786,128.232.132.8,Directed,0.5999999999999943
-1,0,59193,103.232.241.2,Directed,3.76
59193,103.232.241.2,55836,115.247.100.29,Directed,105.42
55836,115.247.100.29,3356,4.69.217.18,Directed,57.18000000000001
3356,4.69.217.18,3356,8.244.128.126,Directed,0.6700000000000017
3356,8.244.128.126,2519,163.139.130.222,Directed,2.3699999999999903
2519,163.139.130.222,2519,222.230.187.198,Directed,4.739999999999995
2519,-9,4694,202.218.128.200,Directed,99.32000000000001
-1,0,59193,103.232.241.2,Directed,1.9700000000000006
59193,103.232.241.2,55836,115.247.100.29,Directed,1.08
55836,115.247.100.29,20860,130.180.202.49,Directed,133.31
20860,130.180.202.49,20860,130.180.202.57,Directed,3.170000000000016
20860,130.180.202.57,35425,91.223.58.33,Directed,1.259999999999991
35425,-10,35425,5.28.62.178,Directed,8.180000000000007
-1,0,59193,103.232.241.2,Directed,0.6200000000000001
59193,103.232.241.2,55836,115.247.100.29,Directed,0.7400000000000002
55836,115.247.100.29,64049,49.45.4.82,Directed,44.15
64049,49.45.4.82,64049,49.45.4.82,Directed,0.23000000000000398
64049,49.45.4.82,3356,4.68.73.145,Directed,4.329999999999998
3356,4.68.73.145,3356,4.69.217.18,Directed,61.68000000000001
3356,4.69.217.18,3549,113.29.1.138,Directed,1.6499999999999915
3549,113.29.1.138,2519,163.139.130.222,Directed,0.980000000000004
2519,163.139.130.222,2519,222.230.187.206,Directed,134.18
2519,222.230.187.206,131965,103.3.0.5,Directed,7.490000000000009
131965,103.3.0.5,131965,103.3.0.23,Directed,19.269999999999982
131965,103.3.0.23,131965,103.3.0.35,Directed,19.299999999999983
131965,-11,131965,120.136.14.37,Directed,10.070000000000022
-1,0,59193,103.232.241.2,Directed,4.33
59193,103.232.241.2,55824,180.149.48.18,Directed,32.33
55824,180.149.48.18,55824,180.149.48.2,Directed,83.67
55824,180.149.48.2,55824,180.149.48.13,Directed,122.0
55824,180.149.48.13,11537,163.253.1.41,Directed,37.34
11537,163.253.1.41,11537,163.253.1.241,Directed,1.3400000000000034
11537,163.253.1.241,14877,162.223.17.79,Directed,93.0
14877,162.223.17.79,9,128.2.0.181,Directed,77.33999999999997
9,128.2.0.181,9,128.2.0.210,Directed,4.330000000000041
9,-12,9,128.2.42.52,Directed,0.0
-1,0,59193,103.232.241.2,Directed,21.91
59193,103.232.241.2,55836,115.247.100.29,Directed,35.06999999999999
55836,115.247.100.29,13335,162.158.226.122,Directed,115.73
13335,162.158.226.122,13335,172.70.216.5,Directed,18.63000000000001
13335,-13,13335,162.159.136.232,Directed,2.0799999999999983
-1,0,59193,103.232.241.2,Directed,2.0
59193,103.232.241.2,55836,115.247.100.29,Directed,20.75
55836,115.247.100.29,2914,128.241.7.158,Directed,246.48999999999998
2914,128.241.7.158,2914,129.250.3.16,Directed,25.829999999999984
2914,129.250.3.16,2914,129.250.6.116,Directed,23.48999999999998
2914,129.250.6.116,2914,129.250.3.244,Directed,5.939999999999998
2914,129.250.3.244,2914,165.254.239.30,Directed,4.0
2914,-14,22414,208.82.237.129,Directed,0.6700000000000159
-1,0,59193,103.232.241.2,Directed,2.33
59193,103.232.241.2,55824,180.149.48.18,Directed,20.659999999999997
55824,180.149.48.18,55824,180.149.48.6,Directed,141.32999999999998
55824,180.149.48.6,55824,180.149.48.20,Directed,0.3299999999999841
55824,180.149.48.20,55824,180.149.48.13,Directed,84.32999999999998
55824,180.149.48.13,14,128.59.255.5,Directed,15.0
14,128.59.255.5,14,128.59.255.21,Directed,12.669999999999987
14,-15,14,128.59.105.24,Directed,0.6700000000000159
-2,219.94.128.141,2914,129.250.3.47,Directed,3.0
2914,129.250.3.47,2914,129.250.4.194,Directed,70.0
2914,129.250.4.194,2914,129.250.6.16,Directed,1.0
2914,129.250.6.16,2914,129.250.6.177,Directed,62.0
2914,129.250.6.177,2914,129.250.3.83,Directed,0.0
2914,129.250.3.83,2914,129.250.2.40,Directed,104.0
2914,129.250.2.40,2914,61.120.147.26,Directed,0.0
2914,61.120.147.26,9371,219.94.128.141,Directed,3.0
-2,213.105.9.24,2914,129.250.2.151,Directed,1.0
2914,129.250.2.151,6830,213.46.174.97,Directed,0.0
6830,213.46.174.97,6830,84.116.134.197,Directed,10.0
6830,84.116.134.197,6830,84.116.135.50,Directed,3.0
6830,84.116.135.50,5089,62.253.174.98,Directed,9.0
5089,-7,5089,62.254.85.22,Directed,1.0
-2,128.232.132.8,2914,129.250.3.101,Directed,1.0
2914,129.250.3.101,2914,129.250.2.151,Directed,4.0
2914,129.250.2.151,3356,4.68.111.113,Directed,1.0
3356,4.68.111.113,3356,212.187.216.238,Directed,6.0
3356,212.187.216.238,786,146.97.35.193,Directed,20.0
786,146.97.35.193,786,146.97.33.62,Directed,21.0
786,146.97.33.62,786,146.97.33.29,Directed,19.0
786,146.97.33.29,786,146.97.35.246,Directed,17.0
786,146.97.35.246,786,146.97.41.38,Directed,2.0
786,146.97.41.38,786,131.111.6.182,Directed,38.0
786,131.111.6.182,786,193.60.88.6,Directed,36.0
786,193.60.88.6,786,193.60.88.6,Directed,1.0
786,-8,786,128.232.128.6,Directed,0.0
-2,202.218.128.200,2914,129.250.6.6,Directed,91.0
2914,129.250.6.6,2914,129.250.6.237,Directed,57.0
2914,129.250.6.237,2914,129.250.2.159,Directed,7.0
2914,129.250.2.159,2914,168.143.229.22,Directed,0.0
2914,168.143.229.22,2497,58.138.88.81,Directed,95.0
2497,58.138.88.81,2497,58.138.101.34,Directed,8.0
2497,58.138.101.34,2497,210.130.134.118,Directed,7.0
2497,210.130.134.118,2519,163.139.130.218,Directed,4.0
2519,163.139.130.218,2519,222.230.187.198,Directed,9.0
2519,-9,4694,202.218.128.200,Directed,5.0
-2,5.28.62.178,2914,129.250.2.151,Directed,1.0
2914,129.250.2.151,6461,64.125.14.105,Directed,0.0
