AS Number,IP Range,City,Country Code,Description
59193,103.232.241.0 - 103.232.241.255,Champapet,IN,IIT Hyderabad
55836,115.240.0.0 - 115.247.255.255,,IN,Reliance Jio Infocomm Limited
2497,202.232.0.0 - 202.235.255.255,,JP,Japan Network Information Center
2497,58.138.0.0 - 58.138.127.255,,JP,"Internet Initiative Japan Inc.
Iidabashi Grand Bloom,
2-10-2 Fujimi, Chiyoda-ku,
Tokyo, 102-0071 Japan"
2497,58.138.0.0 - 58.138.127.255,,JP,"Internet Initiative Japan Inc.
Iidabashi Grand Bloom,
2-10-2 Fujimi, Chiyoda-ku,
Tokyo, 102-0071 Japan"
2497,58.138.0.0 - 58.138.127.255,,JP,"Internet Initiative Japan Inc.
Iidabashi Grand Bloom,
2-10-2 Fujimi, Chiyoda-ku,
Tokyo, 102-0071 Japan"
2497,58.138.0.0 - 58.138.127.255,,JP,"Internet Initiative Japan Inc.
Iidabashi Grand Bloom,
2-10-2 Fujimi, Chiyoda-ku,
Tokyo, 102-0071 Japan"
2497,210.136.0.0 - 210.143.255.255,,JP,Japan Network Information Center
9371,219.94.128.0 - 219.94.255.255,Osaka,JP,"SAKURA Internet Inc.
Tokyo Tatemono Umeda Building 11F,1-12-12,Umeda,Kita-ku,Osaka 530-0001 Japan"
2914,129.250.0.0 - 129.250.255.255,,US,"NTT America, Inc."
2914,129.250.0.0 - 129.250.255.255,,US,"NTT America, Inc."
2914,129.250.0.0 - 129.250.255.255,,US,"NTT America, Inc."
2914,129.250.0.0 - 129.250.255.255,,US,"NTT America, Inc."
2914,129.250.0.0 - 129.250.255.255,,US,"NTT America, Inc."
2914,129.250.0.0 - 129.250.255.255,,US,"NTT America, Inc."
2914,61.112.0.0 - 61.127.255.255,,JP,Japan Network Information Center
9498,182.64.0.0 - 182.79.255.255,,IN,"Bharti Airtel Limited
Transport Network Group
234, Okhla Phase III"
9498,116.119.0.0 - 116.119.127.0,,IN,"BHARTI TELESONIC INFRASTRUCTURE
234 Okhla Industrial Area,
Phase- III, New Delhi - 110020, India
New Delhi"
6453,116.0.67.0 - 116.0.67.255,Central,HK,customers access -30 and BB use
6453,180.87.112.0 - 180.87.112.255,Central,HK,Customer access /30 & BB usage
2497,58.138.0.0 - 58.138.127.255,,JP,"Internet Initiative Japan Inc.
Iidabashi Grand Bloom,
2-10-2 Fujimi, Chiyoda-ku,
Tokyo, 102-0071 Japan"
174,130.117.0.0 - 130.117.255.255,,,"PSINet, Inc."
174,154.54.0.0 - 154.54.255.255,,US,"PSINet, Inc."
174,154.54.0.0 - 154.54.255.255,,US,"PSINet, Inc."
6830,213.46.174.0 - 213.46.174.255,,NL,"Chello Broadband
Links and Loopbacks
in the UK"
6830,84.116.64.0 - 84.116.207.255,,,"Liberty Global Infrastructure
IPs statically assigned"
5089,62.252.0.0 - 62.255.255.255,,GB,Virgin Media
5089,62.252.0.0 - 62.255.255.255,Hackney,GB,Virgin Media
5089,213.104.0.0 - 213.107.255.255,Stockbridge,GB,Virgin Media
2914,129.250.0.0 - 129.250.255.255,,US,"NTT America, Inc."
6830,213.46.174.0 - 213.46.174.255,,NL,"Chello Broadband
Links and Loopbacks
in the UK"
6830,84.116.64.0 - 84.116.207.255,,,"Liberty Global Infrastructure
IPs statically assigned"
6830,84.116.64.0 - 84.116.207.255,,,"Liberty Global Infrastructure
IPs statically assigned"
5089,62.252.0.0 - 62.255.255.255,,GB,Virgin Media
