Source,Target,Type,RTTD
-1,59193,Directed,1.0900000000000003
59193,55836,Directed,32.0
55836,2497,Directed,38.05
2497,-6,Directed,1.490000000000009
-1,59193,Directed,3.33
59193,55836,Directed,0.0
55836,174,Directed,138.0
174,6830,Directed,13.329999999999984
6830,5089,Directed,5.0
5089,-7,Directed,11.340000000000003
-1,59193,Directed,1.3
59193,55824,Directed,0.4100000000000019
55824,20965,Directed,1.7900000000000205
20965,786,Directed,5.189999999999998
786,-8,Directed,0.5999999999999943
-1,59193,Directed,3.76
59193,55836,Directed,105.42
55836,3356,Directed,57.18000000000001
3356,2519,Directed,2.3699999999999903
2519,-9,Directed,99.32000000000001
-1,59193,Directed,1.9700000000000006
59193,55836,Directed,1.08
55836,20860,Directed,133.31
20860,35425,Directed,1.259999999999991
35425,-10,Directed,8.180000000000007
-1,59193,Directed,0.6200000000000001
59193,55836,Directed,0.7400000000000002
55836,64049,Directed,44.15
64049,3356,Directed,4.329999999999998
3356,3549,Directed,1.6499999999999915
3549,2519,Directed,0.980000000000004
2519,131965,Directed,7.490000000000009
131965,-11,Directed,10.070000000000022
-1,59193,Directed,4.33
59193,55824,Directed,32.33
55824,11537,Directed,37.34
11537,14877,Directed,93.0
14877,9,Directed,77.33999999999997
9,-12,Directed,0.0
-1,59193,Directed,21.91
59193,55836,Directed,35.06999999999999
55836,13335,Directed,115.73
13335,-13,Directed,2.0799999999999983
-1,59193,Directed,2.0
59193,55836,Directed,20.75
55836,2914,Directed,246.48999999999998
2914,-14,Directed,0.6700000000000159
-1,59193,Directed,2.33
59193,55824,Directed,20.659999999999997
55824,14,Directed,15.0
14,-15,Directed,0.6700000000000159
