Source - AS,Source - IP,Target - AS,Target - IP,RTTD
-3,219.94.128.141,2914,129.250.6.41,3.0
2914,129.250.6.41,2914,129.250.5.27,11.0
2914,129.250.5.27,2914,129.250.6.6,76.0
2914,129.250.6.6,2914,129.250.2.119,164.0
2914,129.250.2.119,2914,129.250.2.40,1.0
2914,129.250.2.40,2914,61.120.147.26,1.0
2914,61.120.147.26,-100,157.17.153.2,1.0
-100,157.17.153.2,2914,61.120.147.26,166.0
2914,-6,9371,219.94.128.141,168.0
-3,116.119.81.214,2914,129.250.6.13,2.0
2914,129.250.6.13,2914,129.250.7.34,11.0
2914,129.250.7.34,2914,129.250.7.13,4.0
2914,129.250.7.13,2914,129.250.5.62,135.0
2914,129.250.5.62,2914,168.143.191.229,8.0
2914,168.143.191.229,9498,116.119.81.214,64.0
9498,-7,9829,218.248.51.246,7.0
-3,62.253.174.78,2914,129.250.9.30,5.0
2914,129.250.9.30,6830,84.116.137.18,3.0
6830,84.116.137.18,6830,84.116.130.98,1.0
6830,84.116.130.98,6830,84.116.130.97,35.0
6830,84.116.130.97,5089,62.253.174.78,22.0
5089,-8,5089,62.254.85.18,1.0
-3,128.232.128.6,1299,62.115.147.64,2.0
1299,62.115.147.64,1299,62.115.114.88,0.0
1299,62.115.114.88,1299,62.115.123.13,7.0
1299,62.115.123.13,1299,62.115.135.24,8.0
1299,62.115.135.24,1299,62.115.138.169,1.0
1299,62.115.138.169,1299,62.115.175.107,0.0
1299,62.115.175.107,786,146.97.35.193,0.0
786,146.97.35.193,786,146.97.33.62,11.0
786,146.97.33.62,786,146.97.33.29,8.0
786,146.97.33.29,786,146.97.35.246,1.0
786,146.97.35.246,786,146.97.41.38,9.0
786,146.97.41.38,786,131.111.6.182,7.0
786,131.111.6.182,786,193.60.88.6,0.0
786,193.60.88.6,786,193.60.88.6,0.0
786,-9,786,128.232.128.6,0.0
-3,202.218.128.200,2914,129.250.6.41,20.0
2914,129.250.6.41,2914,129.250.3.47,10.0
2914,129.250.3.47,2914,129.250.2.114,172.0
2914,129.250.2.114,2914,168.143.229.30,2.0
2914,168.143.229.30,2914,129.250.5.17,27.0
2914,129.250.5.17,2914,129.250.2.3,4.0
2914,129.250.2.3,2914,168.143.229.14,1.0
2914,168.143.229.14,2519,163.139.130.218,238.0
2519,163.139.130.218,2519,222.230.187.198,9.0
2519,222.230.187.198,2497,210.130.134.118,148.0
2497,210.130.134.118,2519,163.139.130.222,0.0
2519,163.139.130.222,2519,222.230.187.198,3.0
2519,-10,4694,202.218.128.200,192.0
-3,5.28.62.178,174,130.117.14.129,2.0
174,130.117.14.129,174,130.117.1.118,0.0
174,130.117.1.118,174,130.117.0.121,6.0
174,130.117.0.121,174,154.54.56.93,7.0
174,154.54.56.93,174,154.54.58.186,0.0
174,154.54.58.186,174,149.11.143.66,0.0
174,149.11.143.66,20860,130.180.202.49,1.0
20860,130.180.202.49,20860,130.180.202.57,5.0
20860,130.180.202.57,35425,91.223.58.33,2.0
35425,-11,35425,5.28.62.178,1.0
-3,103.3.0.23,174,130.117.254.33,0.7
174,130.117.254.33,174,130.117.48.158,0.12
174,130.117.48.158,174,154.54.58.234,9.12
174,154.54.58.234,174,154.54.72.110,10.910000000000002
174,154.54.72.110,174,154.54.6.26,175.5
174,154.54.6.26,174,154.54.40.138,36.670000000000016
174,154.54.40.138,174,154.54.89.197,5.699999999999989
174,154.54.89.197,174,154.18.0.2,5.22999999999999
174,154.18.0.2,2519,163.139.130.222,7.530000000000001
2519,163.139.130.222,2519,163.139.130.222,15.060000000000002
2519,163.139.130.222,131965,103.3.0.5,8.72999999999999
131965,103.3.0.5,131965,103.3.0.23,12.129999999999995
131965,-12,131965,103.3.0.19,24.70999999999998
-3,128.2.42.10,174,130.117.14.129,2.0
174,130.117.14.129,174,130.117.1.118,1.0
174,130.117.1.118,174,130.117.0.121,7.0
174,130.117.0.121,174,154.54.77.246,10.0
174,154.54.77.246,174,154.54.44.166,70.0
174,154.54.44.166,174,154.54.42.89,7.0
174,154.54.42.89,174,154.54.31.225,11.0
174,154.54.31.225,174,154.54.83.158,2.0
174,154.54.83.158,174,154.24.79.78,0.0
174,154.24.79.78,174,38.140.44.154,0.0
174,38.140.44.154,9,128.2.255.177,2.0
9,128.2.255.177,9,128.2.255.210,1.0
9,-13,9,128.2.42.10,1.0
-3,162.159.136.232,2914,129.250.6.41,5.0
2914,129.250.6.41,2914,129.250.5.42,15.0
2914,129.250.5.42,2914,128.241.9.165,0.0
2914,128.241.9.165,13335,172.70.244.5,18.0
13335,-14,13335,162.159.138.232,1.0
-3,208.82.237.129,2914,129.250.6.13,3.0
2914,129.250.6.13,2914,129.250.5.27,8.0
2914,129.250.5.27,2914,129.250.2.111,267.0
2914,129.250.2.111,2914,129.250.3.244,14.0
2914,129.250.3.244,2914,129.250.6.116,204.0
2914,-15,2914,165.254.239.30,2.0
-3,128.59.105.24,174,130.117.14.129,2.0
174,130.117.14.129,174,130.117.1.118,0.0
174,130.117.1.118,174,130.117.0.141,50.0
174,130.117.0.141,174,130.117.51.41,34.0
174,130.117.51.41,174,154.54.42.69,67.0
174,154.54.42.69,174,38.122.8.210,0.0
174,38.122.8.210,14,128.59.255.5,0.0
14,128.59.255.5,14,128.59.255.21,0.0
14,-16,14,128.59.105.24,1.0
