AS Number,IP Address,City,Country Code,Latitude,Longitude
59193,103.232.241.2,Champapet,IN,17.3438,78.5173
55836,115.247.100.29,,IN,20,77
2497,202.232.1.69,,JP,35.69,139.69
2497,58.138.80.209,,JP,35.69,139.69
2497,58.138.80.185,,JP,35.69,139.69
2497,58.138.88.58,,JP,35.69,139.69
2497,58.138.106.162,,JP,35.69,139.69
2497,210.138.32.46,,JP,35.69,139.69
9371,219.94.128.141,Osaka,JP,34.6864,135.52
2914,129.250.3.47,,US,37.751,-97.822
2914,129.250.4.194,,US,37.751,-97.822
2914,129.250.6.16,,US,37.751,-97.822
2914,129.250.6.177,,US,37.751,-97.822
2914,129.250.3.83,,US,37.751,-97.822
2914,129.250.2.40,,US,37.751,-97.822
2914,61.120.147.26,,JP,35.69,139.69
9498,182.79.27.25,,IN,20,77
9498,116.119.119.206,,IN,20,77
6453,116.0.67.37,Central,HK,22.2833,114.15
6453,180.87.112.150,Central,HK,22.2833,114.15
2497,58.138.81.137,,JP,35.69,139.69
174,130.117.48.145,,,47,8
174,154.54.60.13,,US,37.751,-97.822
174,154.54.58.186,,US,37.751,-97.822
6830,213.46.174.45,,NL,52.3824,4.8995
6830,84.116.135.42,,,47,8
5089,62.253.174.114,,GB,51.4964,-0.1224
5089,62.254.85.22,Hackney,GB,51.546,-0.0758
5089,213.105.9.24,Stockbridge,GB,51.0802,-1.4604
2914,129.250.2.151,,US,37.751,-97.822
6830,213.46.174.97,,NL,52.3824,4.8995
6830,84.116.134.197,,,47,8
6830,84.116.135.50,,,47,8
5089,62.253.174.98,,GB,51.4964,-0.1224
9498,116.119.68.223,,IN,20,77
1299,62.115.142.128,,,47,8
1299,62.115.137.36,,,47,8
6453,116.0.79.129,,SG,1.3667,103.8
6453,180.87.181.92,,IN,20,77
6453,180.87.181.73,,IN,20,77
6453,180.87.180.1,,IN,20,77
6453,180.87.181.27,,IN,20,77
6453,120.29.211.2,,JP,35.69,139.69
6453,209.58.86.144,,US,37.751,-97.822
6453,63.243.205.72,,US,37.751,-97.822
6453,63.243.128.30,,US,37.751,-97.822
6453,63.243.205.187,,US,37.751,-97.822
6453,63.243.128.18,,US,37.751,-97.822
6453,63.243.216.23,,US,37.751,-97.822
55824,180.149.48.18,,IN,20,77
55824,180.149.48.2,,IN,20,77
55824,180.149.48.29,,IN,20,77
20965,62.40.125.214,,GB,51.4964,-0.1224
20965,62.40.98.239,,GB,51.4964,-0.1224
20965,62.40.98.106,Lisbon,PT,38.7167,-9.1333
20965,62.40.98.64,,GB,51.4964,-0.1224
20965,62.40.124.198,,GB,51.4964,-0.1224
786,146.97.33.18,,GB,51.4964,-0.1224
786,146.97.35.246,,GB,51.4964,-0.1224
786,146.97.41.38,,GB,51.4964,-0.1224
786,131.111.6.182,Cambridge,GB,52.191,0.1249
786,193.60.88.6,Cambridge,GB,52.191,0.1249
786,128.232.128.6,Cambridge,GB,52.191,0.1249
786,128.232.128.10,Cambridge,GB,52.191,0.1249
786,128.232.132.8,Cambridge,GB,52.191,0.1249
2914,129.250.3.101,,US,37.751,-97.822
3356,4.68.111.113,,US,37.751,-97.822
3356,212.187.216.238,,GB,51.4964,-0.1224
786,146.97.35.193,,GB,51.4964,-0.1224
786,146.97.33.62,,GB,51.4964,-0.1224
786,146.97.33.29,,GB,51.4964,-0.1224
9498,125.18.92.93,,IN,20,77
6461,94.31.40.4,Hammersmith,GB,51.5,-0.2333
6461,64.125.27.14,,US,37.751,-97.822
6461,64.125.29.84,,US,37.751,-97.822
6461,64.125.22.65,,US,37.751,-97.822
786,146.97.35.169,,GB,51.4964,-0.1224
3356,4.69.217.18,,US,37.751,-97.822
3356,8.244.128.126,,US,37.751,-97.822
2519,163.139.130.222,,JP,35.69,139.69
2519,222.230.187.198,,JP,35.69,139.69
4694,202.218.128.200,Osaka,JP,34.7297,135.4705
2914,129.250.6.6,,US,37.751,-97.822
