Source - AS,Source - IP,Target - AS,Target - IP,RTTD
-1,0,-100,172.22.96.1,0.66
-100,172.22.96.1,-100,192.168.1.1,2.19
-100,192.168.1.1,-100,192.168.41.1,10.5
-100,192.168.41.1,-100,192.168.8.18,9.14
-100,192.168.8.18,59193,103.232.241.2,0.43000000000000016
59193,103.232.241.2,-100,10.119.254.121,9.440000000000001
-100,10.119.254.121,-100,10.160.24.5,6.28
-100,10.160.24.5,-100,10.255.222.33,1.3800000000000008
-100,10.255.222.33,55836,115.247.100.29,22.560000000000002
55836,115.247.100.29,2497,202.232.1.69,38.05
2497,202.232.1.69,2497,58.138.80.209,17.230000000000004
2497,58.138.80.209,2497,58.138.80.185,82.31
2497,58.138.80.185,2497,58.138.88.58,0.7400000000000091
2497,58.138.88.58,2497,58.138.106.162,23.45999999999998
2497,58.138.106.162,2497,210.138.32.46,91.89000000000001
2497,-6,9371,219.94.128.141,1.490000000000009
-2,219.94.128.141,2914,129.250.3.47,3.0
2914,129.250.3.47,2914,129.250.4.194,70.0
2914,129.250.4.194,2914,129.250.6.16,1.0
2914,129.250.6.16,2914,129.250.6.177,62.0
2914,129.250.6.177,2914,129.250.3.83,0.0
2914,129.250.3.83,2914,129.250.2.40,104.0
2914,129.250.2.40,2914,61.120.147.26,0.0
2914,61.120.147.26,-100,157.17.153.10,1.0
-100,157.17.153.10,-100,157.17.149.26,1.0
-100,-6,9371,219.94.128.141,2.0
-3,219.94.128.141,-100,192.168.213.90,30.66
-100,192.168.213.90,-100,192.168.36.15,267.66999999999996
-100,192.168.36.15,-100,192.168.34.177,49.99999999999997
-100,192.168.34.177,-100,192.168.48.3,184.67000000000002
-100,192.168.48.3,-100,192.168.48.2,50.0
-100,192.168.48.2,-100,192.168.48.49,5.0
-100,192.168.48.49,9498,182.79.27.25,71.67000000000002
9498,182.79.27.25,9498,116.119.119.206,3.329999999999984
9498,116.119.119.206,-100,27.111.228.196,17.0
-100,27.111.228.196,2497,58.138.80.185,22.0
2497,58.138.80.185,2497,58.138.88.58,171.00000000000003
2497,58.138.88.58,2497,58.138.106.162,28.33000000000004
2497,58.138.106.162,2497,210.138.32.46,96.32999999999998
2497,210.138.32.46,-100,157.17.153.6,122.32999999999998
-100,157.17.153.6,-100,157.17.149.26,2.0
-100,-6,9371,219.94.128.141,117.66999999999999
-4,219.94.128.141,36236,199.38.181.1,19.37
36236,199.38.181.1,2914,129.250.3.50,17.68
2914,129.250.3.50,2914,129.250.6.177,60.190000000000005
2914,129.250.6.177,2914,129.250.3.83,0.5
2914,129.250.3.83,2914,129.250.3.61,99.56
2914,129.250.3.61,2914,129.250.2.40,0.27000000000001023
2914,129.250.2.40,2914,61.120.147.26,0.30000000000001137
2914,61.120.147.26,-100,157.17.153.10,0.46999999999999886
-100,157.17.153.10,-100,157.17.150.30,1.75
-100,-6,9371,219.94.128.141,1.1599999999999966
-5,219.94.128.141,6453,116.0.67.37,36.0
6453,116.0.67.37,6453,180.87.112.150,0.0
6453,180.87.112.150,2497,58.138.81.137,51.0
2497,58.138.81.137,2497,58.138.106.162,2.0
2497,58.138.106.162,2497,210.138.32.46,10.0
2497,-6,9371,219.94.128.141,10.0
-1,0,-100,192.168.1.1,3.0
-100,192.168.1.1,-100,192.168.41.1,1.0
-100,192.168.41.1,-100,192.168.8.19,0.6699999999999999
-100,192.168.8.19,59193,103.232.241.2,0.33000000000000007
59193,103.232.241.2,-100,10.119.254.121,0.0
-100,10.119.254.121,-100,10.160.24.5,5.66
-100,10.160.24.5,-100,10.255.222.33,3.33
-100,10.255.222.33,55836,115.247.100.29,0.0
55836,115.247.100.29,174,130.117.48.145,138.0
174,130.117.48.145,174,154.54.60.13,10.669999999999987
174,154.54.60.13,174,154.54.58.186,4.659999999999997
174,154.54.58.186,6830,213.46.174.45,13.329999999999984
6830,213.46.174.45,6830,84.116.135.42,14.0
6830,84.116.135.42,5089,62.253.174.114,5.0
5089,62.253.174.114,5089,62.254.85.22,11.669999999999987
5089,-7,5089,213.105.9.24,11.340000000000003
-2,213.105.9.24,2914,129.250.2.151,1.0
2914,129.250.2.151,6830,213.46.174.97,0.0
6830,213.46.174.97,6830,84.116.134.197,10.0
6830,84.116.134.197,6830,84.116.135.50,3.0
6830,84.116.135.50,5089,62.253.174.98,9.0
5089,-7,5089,62.254.85.22,1.0
