Source - AS,Source - IP,Target - AS,Target - IP,Type,RTTD
-2,219.94.128.141,2914,129.250.3.47,Directed,3.0
2914,129.250.3.47,2914,61.120.147.26,Directed,0.0
2914,61.120.147.26,9371,219.94.128.141,Directed,3.0
-2,213.105.9.24,2914,129.250.2.151,Directed,1.0
2914,129.250.2.151,6830,213.46.174.97,Directed,0.0
6830,213.46.174.97,6830,84.116.134.197,Directed,10.0
6830,84.116.134.197,5089,62.254.85.22,Directed,1.0
-2,128.232.132.8,2914,129.250.2.151,Directed,4.0
2914,129.250.2.151,3356,4.68.111.113,Directed,1.0
3356,4.68.111.113,3356,212.187.216.238,Directed,6.0
3356,212.187.216.238,786,128.232.128.6,Directed,0.0
-2,202.218.128.200,2914,129.250.6.6,Directed,91.0
2914,129.250.6.6,2497,210.130.134.118,Directed,7.0
2497,210.130.134.118,2519,163.139.130.218,Directed,4.0
2519,163.139.130.218,4694,202.218.128.200,Directed,5.0
-2,5.28.62.178,2914,129.250.2.151,Directed,1.0
2914,129.250.2.151,6461,64.125.28.3,Directed,7.0
6461,64.125.28.3,20860,130.180.202.57,Directed,4.0
20860,130.180.202.57,35425,5.28.62.178,Directed,0.0
-2,120.136.14.37,174,130.117.254.73,Directed,0.66
174,130.117.254.73,174,154.18.0.2,Directed,7.6699999999999875
174,154.18.0.2,2519,222.230.187.206,Directed,8.590000000000003
2519,222.230.187.206,131965,103.3.0.23,Directed,0.6800000000000068
-2,128.2.42.52,2914,129.250.2.107,Directed,4.0
2914,129.250.2.107,174,154.54.38.65,Directed,2.0
174,154.54.38.65,174,66.28.4.237,Directed,4.0
174,66.28.4.237,174,154.24.79.74,Directed,2.0
174,154.24.79.74,174,38.140.44.154,Directed,1.0
174,38.140.44.154,9,128.2.42.10,Directed,0.0
-2,162.159.136.232,2914,129.250.4.145,Directed,1.0
2914,129.250.4.145,2914,185.84.18.174,Directed,1.0
2914,185.84.18.174,13335,141.101.67.52,Directed,1.0
13335,141.101.67.52,13335,172.71.120.2,Directed,1.0
13335,-13,13335,162.159.136.232,Directed,1.0
-2,208.82.237.129,2914,129.250.3.242,Directed,4.0
2914,129.250.3.242,2914,165.254.239.30,Directed,8.0
2914,-14,22414,208.82.237.129,Directed,1.0
-2,128.59.105.24,2914,129.250.2.179,Directed,0.0
2914,129.250.2.179,174,154.54.84.214,Directed,1.0
174,154.54.84.214,174,38.122.8.210,Directed,0.0
174,38.122.8.210,14,128.59.105.24,Directed,101.0
